type,geometry.type,geometry.coordinates,properties.SUBTYPECD,properties.GRID_ADDRE,properties.WATTS,properties.FIXTURE_ST,properties.DECAL_COLO,properties.DECAL_NUMB,properties.LAMP_CD,properties.USE_CD,properties.MOUNT_HEIG,properties.OWNER,properties.BRACKET_CD,properties.BRACKET_LN,properties.INSTALL_DA,properties.RELATEDPOL,properties.FIRSTONPOL,properties.BRIDGE_IND,properties.MATERIAL_C,properties.STYLE,properties.WORK_EFFEC,properties.WORK_REQUE,properties.LUMENS,properties.CONTRACT_N,properties.NOM_VOLT,properties.SYMBOLROTA,properties.SUBMISSION,properties.WORKREQUES,properties.DESIGNID,properties.WORKLOCATI,properties.WORKFLOWST,properties.WORKFUNCTI,properties.ENABLED,properties.NONSTANDAR,properties.NONSTAND_1,properties.STREETLIGH,properties.PREMISE_ID,properties.ISWATCHLIG,properties.INSPECTION,properties.BASIC_PREM,properties.CUID,properties.PATTERN,properties.COLOR_TEMP,properties.BASE_COLOR,long,lat,copyright,date,pano_id,status,view_lat,view_long
Feature,Point,"[-78.468252, 38.024491]",4,G0025SC2500,175,ENCL,LTBL,17,MV,STL,0,DOM,,,,16116845,YES,NO,W,STD,2012/03/02,7777777,7000,374030,0,321.80921462,CHV01,,,,0,0,1,,,,0,,,,,,,,-78.468252,38.024491,© Google,2019-07,SqwNaE8AbPsvLPKkgDJlbg,OK,38.0244423368979,-78.46819245243526
Feature,Point,"[-78.46772, 38.024815]",4,G0025SC3700,175,ENCL,LTBL,17,MV,STL,0,DOM,,,,16116846,YES,NO,W,STD,2012/03/02,7777777,7000,374030,0,157.0,CHV01,,,,0,0,1,,,,0,,,,,,,,-78.46772,38.024815,© Google,2019-07,B2DarMtjordfU49CXZjyzg,OK,38.0248282,-78.4678563
Feature,Point,"[-78.475919, 38.034314]",1,G0025NJ6600,150,ENCL,YLO,15,HPS,STL,0,DOM,,,,879772,YES,NO,W,STD,2010/12/09,4591355,14000,374030,0,335.0,CHV01,,,,0,0,1,,,,0,,,,,,,,-78.47591899999998,38.034314,© Google,2012-10,mnIRoveGUpcdr8dPWvXZ-A,OK,38.03427747338068,-78.47590436638544
Feature,Point,"[-78.481514, 38.022291]",1,G0025KA5900,100,ENCL,YLO,10,HPS,STL,0,DOM,,,,880012,YES,NO,W,STD,2010/12/29,4608144,8000,374030,0,68.0,CHV01,,,,0,0,1,,,,0,,,,,,,,-78.481514,38.022291,© Google,2012-10,GJOcnsAePp16JCEV5veXaA,OK,38.02233594667275,-78.48146429350709
Feature,Point,"[-78.474909, 38.030851]",1,G0025OH6000,100,ENCL,YLO,10,HPS,STL,0,,,,,880117,YES,NO,W,STD,,0,8000,374030,0,247.0,CHV01,,,,0,0,1,,,,0,,,,,,,,-78.474909,38.030851,© Google,2018-06,4SsvlbUI9eHgDlYabqR9Jw,OK,38.03079801679839,-78.47489941661973
Feature,Point,"[-78.484751, 38.040257]",1,G0025IO7100,150,ENFL,YLO,15,HPS,STL,0,DOM,,,2010/12/10,70968714,YES,NO,W,STD,2010/12/10,7336350,14000,374030,120,225.00000289,,7336350,363262.0,3,0,0,1,,,,0,,,,,,,,-78.484751,38.040257,© Google,2012-08,wv9FEaHCNDh0QHFDHrOBVw,OK,38.04025183164742,-78.48481670757474
Feature,Point,"[-78.500328, 38.029064]",4,F2325XF6800,175,ENCL,LTBL,17,MV,STL,0,DOM,,,,567408,YES,NO,W,STD,2016/11/08,7777777,7000,374030,0,116.0,CHV01,,,,0,0,1,,,,0,,,,,,,,-78.500328,38.029064,© Google,2017-07,6Iivksty-I7a0FmDSWiFEQ,OK,38.02909909920042,-78.50035945414359
Feature,Point,"[-78.518567, 38.02277]",1,F2325NB1300,150,ENFL,YLO,15,HPS,STL,0,DOM,,,2014/01/19,14165507,YES,NO,W,STD,2014/01/19,8835635,14000,374030,0,114.0,CHV01,8835635,,,0,0,1,,,CPR,0,,,,,,,,-78.518567,38.02277,© Google,2019-07,agHwF4tguWf-R8uYteJ9aw,OK,38.02280957918509,-78.51862340859705
Feature,Point,"[-78.499939, 38.020335]",1,F2324XO9600,150,COLN,YLO,15,HPS,STL,0,DOM,,,,16117018,YES,NO,C,STD,2011/02/03,4622588,14000,374030,0,271.0,CHV01,,,,0,0,1,,,,0,,,,,,,,-78.499939,38.020335,© Google,2019-07,oDNWnx8jAwMby7gJ05Nw5Q,OK,38.02030109820089,-78.49991044308501
Feature,Point,"[-78.474132, 38.020981]",1,G0025OA7000,150,ENCL,YLO,15,HPS,STL,0,DOM,,,,14163938,YES,NO,W,STD,2011/02/04,4645607,14000,374030,0,22.0,CHV01,,,,0,0,1,,,,0,,,,,,,,-78.474132,38.020981,© Google,2012-07,gZ10n_yTXAG9XuSTiyC93w,OK,38.02100928695758,-78.47416023109206
Feature,Point,"[-78.463939, 38.039833]",4,G0025UN5700,175,ENCL,LTBL,17,MV,STL,0,,,,,16116965,YES,NO,W,STD,,0,7000,374030,0,137.0,CHV01,,,,0,0,1,,,,0,,,,,,,,-78.463939,38.039833,© Google,2019-07,x_OK1-J1nwicbulU871Oxg,OK,38.03986292362859,-78.46404482144641
Feature,Point,"[-78.464919, 38.039011]",4,G0025UN0100,175,ENCL,LTBL,17,MV,STL,0,,,,,16451919,YES,NO,W,STD,,0,7000,374030,0,134.0,CHV01,,,,0,0,1,,,,0,,,,,,,,-78.464919,38.039011,© Google,2019-07,m4HBgIU5EL9k5boeDdqbxQ,OK,38.0391182,-78.4649347
Feature,Point,"[-78.464379, 38.03947]",4,G0025UN3500,175,ENCL,LTBL,17,MV,STL,0,,,,,880015,YES,NO,W,STD,,0,7000,374030,0,142.0,CHV01,,,,0,0,1,,,,0,,,,,,,,-78.46437900000002,38.03947,© Google,2019-07,rjQeuKotZMQKFonsY6D3aw,OK,38.03954134271297,-78.4644275613857
Feature,Point,"[-78.464647, 38.039233]",4,G0025UN1200,175,ENCL,LTBL,17,MV,STL,0,,,,,16116966,YES,NO,W,STD,,0,7000,374030,0,137.0,CHV01,,,,0,0,1,,,,0,,,,,,,,-78.464647,38.039233,© Google,2019-07,XMJgkbWjDD9aMQOscy_8Ng,OK,38.03933338971771,-78.46468014691538
