geometry.coordinates,properties.GRID_ADDRE,properties.FIXTURE_ST,long,lat,copyright,date,pano_id,status,view_lat,view_long,streetview_dist,light_shown,pole_shown,able_zoom,pan_need,bearing_adj,remove
"[-78.482788, 38.052366]",G0026JH8500,COLN,-78.482788,38.052366,© Bernard Esters,2017-08,CAoSLEFGMVFpcE1GWmpac29fQjdWRGMxRkVHTHc2WVRZRnRVa1EzT3JMRkd1UmxG,OK,38.0523261,-78.4830541,23.77179139,,,,,,
"[-78.483115, 38.040272]",G0025JO4000,ENFL,-78.483115,38.040272,© Google,2012-08,V1ISzkRNyEtaGvGa4E63Mw,OK,38.0404281,-78.48330555,24.08343166,1,1,1,,,
"[-78.487028, 38.03298]",G0025HI3600,ENCL,-78.487028,38.03298,© Google,2019-07,8KUe1dsEgP06TVZ-U9urrA,OK,38.03275805,-78.4870579,24.77493032,,,,,,
"[-78.478582, 38.014489]",G0024MK1400,ENCL,-78.478582,38.014489,© Jeff S,2018-08,CAoSLEFGMVFpcE5ocUY0bmE4TWI3NWZ3bldUT21Ienc0MlRoQ2dZVGU0bVl5akIx,OK,38.0144559,-78.4783017,24.88728069,,1,1,,,
"[-78.474692, 38.041889]",G0026OA4100,ENCL,-78.474692,38.041889,© Google,2019-07,vp07Qr-LANUtNZJnhlvv3Q,OK,38.04207454,-78.47452547,25.25499765,,1,1,,,
"[-78.492931, 38.033913]",G0025DJ9500,CTMP,-78.492931,38.033913,© Google,2019-07,_gXJvRmISbIMQWWGfK410w,OK,38.03398673,-78.49265809,25.31821183,,,,,,
"[-78.491226, 38.041909]",G0026FA0300,ENCL,-78.491226,38.041909,© Google,2016-09,4u7c0LU0LMGxeO456n1JsA,OK,38.04167856,-78.49121415,25.59889181,,,,,,
"[-78.467764, 38.018818]",G0024SN3500,ENCL,-78.467764,38.018818,© Google,2018-06,Ivz5lMFAxGpqt3TV9qSn9g,OK,38.01864038,-78.46795148,25.68432638,,,,,,
"[-78.504611, 38.031671]",F2325VH1800,ENCL,-78.504611,38.031671,© Krystal Doh,2019-07,CAoSLEFGMVFpcE05NXpwRUdiUVRRZHlBYmdFLVROLXRCdFhFQ3YwTkhadjcxRnBk,OK,38.0317563,-78.5043372,25.83558577,,,,,,
"[-78.490819, 38.026301]",G0025ED8500,COLN,-78.490819,38.026301,© Google,2017-07,yh8giNNL4nYloWjCJ_9RjQ,OK,38.0263615,-78.4905324,26.04441023,,,,,,
"[-78.500699, 38.058041]",F2326XL3800,COLN,-78.500699,38.058041,© Google,2019-08,_-vzKxzhpM7ZrmUWI-_aAA,OK,38.057811,-78.5006389,26.06863155,1,1,1,,,
"[-78.499234, 38.020715]",G0024AO1700,COLN,-78.499234,38.020715,© Google,2012-08,_3L2NKrDRcS7OPrhPuVfbw,OK,38.02074796,-78.49893374,26.61774153,,,,,,
"[-78.493096, 38.021944]",G0025DA8600,ENCL,-78.493096,38.021944,© Google,2019-07,7cTT78RMMM7ru1I-2cHBcA,OK,38.02203668,-78.49337719,26.74770595,,,,,,
"[-78.484322, 38.021566]",G0025IA9400,ENFL,-78.484322,38.021566,© Google,2018-06,JQ7AzM9W9Byxp7oqjb8cqA,OK,38.02180729,-78.4843433,26.84800158,,,,,,
